archivo,empresa,fecha,descripcion,cantidad,precio_unitario,precio_total, pagina, fecha, empresa, descripcion, cantidad, precio_unitario, precio_total,_norm_archivo,pagina,filename_png
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,Lapicero metal color negro con logo estampado. Tinta liquida color negro. Presentación en caja metal Siemens,250.0,14.1,1410.0,,,,,,,,,,
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,Armado de regalos en papel kraft 75gr. Incluye impresión de tarjeta en papel bond 75gr. Con nombre personalizado.,100.0,3.0,300.0,,,,,,,,,,
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,Mug metálico. Interior plástico. Capacidad 450 ml. Medidas 17 cm x 8 cm. Presentación caja cartón. Siemens,100.0,7.7,770.0,,,,,,,,,,
Proforma 003-2022.pdf,Siemens,03 / 01 / 2022,,1.0,12.0,18.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,"Mochila premium contiene Material: Cation importado + nylon 1 compartimiento exterior Bolsillos laterales con cierre: 2 Cierres: #8 con jaladores especiales niquelados Forro: tafeta grueso Acolchado: # 5 en toda la mochila (espalda, portalaptop, base, asas, delantero y costados) Logo: bordado Descripción compartimento principal: -Portalaptop acolchado y con cinta especial 3.8 De acuerdo a diseño Con logo bordado a 1 color Siemens",100.0,81.9,8190.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,"Mesas para laptop Material mdf y patas de metal plegable. Medidas 60 cm x 40 cm x 28 cm altura Color negro, beige y madera Logo en adhesivo vinil ploteado Siemens",100.0,48.0,4800.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,Mouse pad material nylon color negro con apoya muñeca interior gel. Medidas 25.5 cm x 21.5 cm. Con logo a 1 color impreso Siemens,100.0,15.4,1540.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,Lapicero metal color negro con logo estampado. Tinta liquida color negro. Presentación en caja metal Siemens,250.0,14.1,1410.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,Bolsa de tela material notex medidas 62 x 42 x 20 con logo a 1 color impreso Incluye tarjeta personalizada de papel hilo,100.0,14.0,1400.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,Mug metálico. Interior plástico. Capacidad 450 ml. Medidas 17 cm x 8 cm. Presentación caja cartón. Siemens,100.0,7.7,770.0,,,,,,,,,,
Proforma 003-2022B.pdf,Siemens,04 / 01 / 2022,,1.0,12.0,18.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,"Mochila premium contiene Material: Cation importado + nylon 1 compartimiento exterior Bolsillos laterales con cierre: 2 Cierres: #8 con jaladores especiales niquelados Forro: tafeta grueso Acolchado: # 5 en toda la mochila (espalda, portalaptop, base, asas, delantero y costados) Logo: bordado Descripción compartimento principal: -Portalaptop acolchado y con cinta especial 3.8 De acuerdo a diseño Con logo bordado a 1 color Siemens",60.0,81.9,4914.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,"Mesas para laptop Material mdf y patas de metal plegable. Medidas 60 cm x 40 cm x 28 cm altura Color negro, beige y madera Logo en adhesivo vinil ploteado Siemens",60.0,48.0,2880.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,Mouse pad material nylon color negro con apoya muñeca interior gel. Medidas 25.5 cm x 21.5 cm. Con logo a 1 color impreso Siemens,60.0,15.4,924.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,Lapicero metal color negro con logo estampado. Tinta liquida color negro. Presentación en caja metal Siemens,60.0,14.1,846.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,Caja de cartón medidas 62 x 41 x 23 con logo a 1 color impreso con cinta alrededor y lazo Incluye tarjeta personalizada de papel hilo,60.0,15.0,900.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,Taza cerámica con logo a full color sublimado. Interior plástico. Capacidad 11 oz  Presentación caja cartón. Siemens,60.0,11.0,660.0,,,,,,,,,,
Proforma 003-2022D.pdf,Siemens,11 / 01 / 2022,,1.0,12.0,20.0,,,,,,,,,,
Proforma 003-2024.pdf,Teleperformance,03 / 01 / 2024,Avisos de video vigilancia. Impresión a vinil a full color laminado pegado sobre celtex. Con cinta adhesiva de doble contacto. Tamaño 30 x 40 cm. Incluye instalación Teleperfo mance,43.0,9.0,387.0,,,,,,,,,,
Proforma 003-2024.pdf,Teleperformance,03 / 01 / 2024,Avisos de privacidad. Impresión en vinil a full color laminado pegado sobre celtex. Con cinta adhesiva de doble contacto. Tamaño 30 x 40 cm Incluye instalación Teleperfo mance,1.0,9.0,9.0,,,,,,,,,,
Proforma 004-2021B.pdf,Teleperformance,06 / 01 / 2022,Polos blancos manga corta con logo sublimado con 2 logos Teleperfo rmance,19.0,20.5,389.5,,,,,,,,,,
Proforma 004-2021B.pdf,Teleperformance,06 / 01 / 2022,Vaso mug con logo a 1 color impreso.Material plástico. Capacidad 430 ml.Medidas 16 cm. x 7.5 cm. x 6 cm. Teleperfo rmance,19.0,11.5,218.5,,,,,,,,,,
Proforma 004-2021B.pdf,Teleperformance,06 / 01 / 2022,"Banner con base de metal, medida 2 x 2 Teleperfo rmance",1.0,240.0,240.0,,,,,,,,,,
Proforma 004-2021B.pdf,Teleperformance,06 / 01 / 2022,Jugo de frutas personalizado con vinil adhesivo. 355 ml. Teleperfo rmance,25.0,10.5,262.5,,,,,,,,,,
Proforma 004-2022.pdf,Teleperformance,04 / 01 / 2022,Polos blancos manga corta con logo sublimado con 2 logos Teleperfo rmance,19.0,20.5,389.5,,,,,,,,,,
Proforma 004-2022.pdf,Teleperformance,04 / 01 / 2022,Taza blanca a full color presentación en caja de cartón Medidas: Alto: 9.6 cm. Diámetro: 8.1 cm. 11 oz Teleperfo rmance,19.0,11.0,209.0,,,,,,,,,,
Proforma 004-2022.pdf,Teleperformance,04 / 01 / 2022,"Banner con base de metal, medida 2 x 2 Teleperfo rmance",1.0,240.0,240.0,,,,,,,,,,
Proforma 004-2022.pdf,Teleperformance,04 / 01 / 2022,Jugo de frutas personalizado con vinil adhesivo. 355 ml. Teleperfo rmance,25.0,10.5,262.5,,,,,,,,,,
Proforma 004-2022C.pdf,Teleperformance,06 / 01 / 2022,Polos blancos manga corta con logo sublimado con 2 logos Teleperfo rmance,19.0,20.5,389.5,,,,,,,,,,
Proforma 004-2022C.pdf,Teleperformance,06 / 01 / 2022,"Vaso mug con logo a 1 color (interior y exterior) con recubrimiento de acrílico trasclúcido en el medio del cuerpo del jarro, de los diferentes colores (Ver colores), la tapa y asa son de plástico negro. Capacidad: 450 ml.. Teleperfo rmance",19.0,14.5,275.5,,,,,,,,,,
Proforma 004-2022C.pdf,Teleperformance,06 / 01 / 2022,Pines circulares 3cm diámetro acabado resinado. Imagen referencial Teleperfo rmance,19.0,8.9,169.1,,,,,,,,,,
Proforma 004-2022D.pdf,Teleperformance,11 / 01 / 2021,Kit de bienvenida que incluye: 01 Portamascarilla con logo a 1 color impreso 01 candado con clave Teleperfo rmance,500.0,37.5,18750.0,,,,,,,,,,
Proforma 004-2023.pdf,Oregon Foods,03 / 01 / 2024,Impresión de lona backlit a full color con instalación Para caja de luz Medida 1.63 x 0.83,1.0,320.0,320.0,,,,,,,,,,
Proforma 005-2021.pdf,Teleperformance,04 / 01 / 2021,Kit de bienvenida que incluye: 01 Portamascarilla con logo a 1 color impreso 01 candado con clave Teleperfo rmance,500.0,37.5,18750.0,,,,,,,,,,
Proforma 005-2022.pdf,Teleperformance,04 / 01 / 2021,Kit de bienvenida que incluye: 01 Portamascarilla con logo a 1 color impreso 01 candado con clave Teleperfo rmance,500.0,37.5,18750.0,,,,,,,,,,
Proforma 005-2023.pdf,Oregon Foods,03 / 01 / 2024,Gafetes de acrilico con nombre personalizado. Con imperdible. Medida 6.5 x 4 cm ovalados Acrilico 2 mm,16.0,4.0,64.0,,,,,,,,,,
Proforma 005-2023.pdf,Oregon Foods,03 / 01 / 2024,Gafetes de acrilico con nombre personalizado. Con imperdible. Medida 6.5 x 3 cm rectangular Acrilico 2 mm,16.0,4.0,64.0,,,,,,,,,,
Proforma 006-2022.pdf,Teleperformance,07 / 01 / 2022,Bolsas papel liner grueso con pintura a mano motivo Peruano diseños variados. Contracara con logo a 1 color ploteado Teleperfo rmance,4.0,60.5,242.0,,,,,,,,,,
Proforma 006-2022.pdf,Teleperformance,07 / 01 / 2022,Vaso tipo Kero pequeño capacidad 8 oz con motivos Peruanos. Presentación en papel de seda,4.0,21.0,84.0,,,,,,,,,,
Proforma 006-2022.pdf,Teleperformance,07 / 01 / 2022,Torito de pucará altura 12 cm presentación en caja de cartón,4.0,35.0,140.0,,,,,,,,,,
Proforma 006-2022.pdf,Teleperformance,07 / 01 / 2022,Adornos de madera motivos Peruanos altura 13 cm. presentación en papel de seda (01 unidad),4.0,112.0,448.0,,,,,,,,,,
Proforma 006-2022.pdf,Teleperformance,07 / 01 / 2022,Libro culturas Peruanas en inglés Autor Justo Cáceres,4.0,168.0,672.0,,,,,,,,,,
Proforma 006-2022.pdf,Teleperformance,07 / 01 / 2022,Impresión de tarjeta en papel Hilo Tamaño impresión a full color. Medidas 12 x 4 cm. Teleperfo rmance,4.0,3.0,12.0,,,,,,,,,,
Proforma 006-2023.pdf,Teleperformance,05 / 01 / 2023,MacBook Pro 13 con Chip M2 (2022) 512GB - Plata Apple,2.0,10440.0,20880.0,,,,,,,,,,
Proforma 006-2023.pdf,Teleperformance,05 / 01 / 2023,Disco Duro Externo Seagate 10TB Backup Plus USB 3.0 - STEL10000400 Seagate,3.0,2388.0,7164.0,,,,,,,,,,
Proforma 006-2023.pdf,Teleperformance,05 / 01 / 2023,Apple magic mouse 2 modelo mla02lz/a Apple,3.0,610.0,1830.0,,,,,,,,,,
Proforma 006-2023.pdf,Teleperformance,05 / 01 / 2023,"Hub Baseus USB Tipo-C 8 puertos, 3 x USB 3.0, HDMI, Tipo-C, PD, RJ45, microSD, SD Baseus",3.0,330.0,990.0,,,,,,,,,,
Proforma 006-2024.pdf,TREN URBANO DE LIMA S.A.,03 /01 / 2024,Kit de bienvenida con logo a un color Unna Transporte  NO STAFF. NORVIAL (100)  SURVIAL (80) CANCHAQUE (20) Incluye:  1 Mochila color azul con logo a 2 colores en la parte central. Medidas de la mochila: 40 x 30.5 cm Material: Textil sin tejer de fibras sintéticas. Gramaje: 80gr.,35.0,72.3,2530.5,,,,,,,,,,
Proforma 006-2024.pdf,TREN URBANO DE LIMA S.A.,03 /01 / 2024,Kit de bienvenida con logo a un color Unna Transporte NO STAFF. NORVIAL (100)  SURVIAL (80) CANCHAQUE (20) Incluye:,200.0,65.6,13120.0,,,,,,,,,,
Proforma 007-2022.pdf,Teleperformance,07 / 01 / 2022,Mascarilla KN95 con embolsado unitario 100 cajas conteniendo 10 unidades C/U Gaozhen,1000.0,0.68,680.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,"Cuadros en bastidor de madera Retablo 1 de 1 x 1,5 metros Retablo 2 de 1,7 x 1 metros Retablo 3 de 1,7 x 1 metros Retablo 4 de 1,7 x 1 metros Con impresión a full color en lona banner 13 oz Incluye instalación y entrega en Punta sal Decame ron",1.0,400.0,400.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,"03 Viniles impreso a full color con instalación y entrega en Punta sal Pared 1:    2,27 x 3,40 mts Pared 2:    2,28 x 2,66 mts Pared 3:    2,28 x 2,66 mts Decame ron",1.0,950.0,950.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,"03 Viniles impreso a full color con Incluye instalación  y entrega en Punta sal Pared 1: 2,28 x 2,75 mts Pared 2: 2,28 x 2,59 mts Pared 3: 2,28 x 2,89 mts Decame ron",1.0,810.0,810.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,"01 Viniles impreso a full color con instalación Pared 1: 2,28 x 2,89 mts Incluye instalación  y entrega en Punta sal Decame ron",1.0,350.0,350.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,Roll Screen impresión a full color en lona banner 13 oz Medida 0.85 x 2.00 mt Incluye instalación  y entrega en Punta sal Decame ron,2.0,160.0,320.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,Letreros selfie de madera pino . poste central madera de 1 y media por 1 y media. Y 5 letreros en 1 pulgada. Laqueado. 5 tablas madera grabadas en laser tamaño aproximado 55 x 14 cm estructura de madera. Incluye instalación y entrega en el hotel el pueblo Altura 1.80 mts Base 30 x 30 cms Incluye instalación y entrega en Punta sal Decame ron,3.0,670.0,2010.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,Tabla de material triplay 30mm con base de triplay. Medida 1.50 m x 55 cm. Brandeado en vinil adhesivo a full color Incluye instalación  y entrega en Punta sal Decame ron,2.0,775.0,1550.0,,,,,,,,,,
Proforma 007-2023.pdf,Blue Marlin Beach Club,05 / 01 / 2023,"Servicio de traslado de personal (02). Instalación, viáticos,hospedaje, seguros SCTR. Envío de productos hasta el destinatario en Tumbes punta sal",1.0,2800.0,2800.0,,,,,,,,,,
Proforma 007-2024.pdf,Aldeas Infantiles SOS Perú,04 / 01 / 2024,Exhibidor de tarjetas navideñas Material MDF 4mm Forrado con vinil a full color Altura 70 cm x 50 cm ancho 3 Niveles de 3 x 3 cm. Aldeas infantiles,12.0,84.0,1008.0,,,,,,,,,,
Proforma 008-2021.pdf,Siemens,10 / 12 / 2021,Vasos 12 oz polipapel ( venta por ciento),1700.0,0.44,748.0,,,,,,,,,,
Proforma 008-2021.pdf,Siemens,10 / 12 / 2021,Plato 15 cm diámetro. Material bagazo de caña de azúcar,1700.0,0.56,952.0,,,,,,,,,,
Proforma 008-2023.pdf,Teleperformance,05 / 01 / 2023,Mochilas en material Kodra original con 2 compartimentos y logo bordado a 1 color Teleperform ance,200.0,44.9,9020.0,,,,,,,,,,
Proforma 008-2023.pdf,Teleperformance,05 / 01 / 2023,Polo con capucha con estampado a 1 color. Material algodón franela Teleperform ance,200.0,84.0,16800.0,,,,,,,,,,
Proforma 008-2023.pdf,Teleperformance,05 / 01 / 2023,Lapicero linterna y portacelular Impresión a full color en Uv dtf Medida de la impresión 5 cm x 2 cm aproximadamente. Teleperform ance,200.0,3.3,660.0,,,,,,,,,,
Proforma 008-2023.pdf,Teleperformance,05 / 01 / 2023,"Libreta material Pu medida 9 x 14 cm Medidas: 9 x 14cm 80 hojas de papel crema con línea, banda elástica, marcador de cinta. Individual, en bolsita plástica transparente. Impresión a full color en Uv dtf Medida de la impresión 5 cm x 2 cm aproximadamente. Teleperform ance",200.0,5.5,1100.0,,,,,,,,,,
Proforma 008-2023B.pdf,Teleperformance,05 / 01 / 2023,Mochilas en material Kodra original con 2 compartimentos y logo bordado a 1 color Teleperform ance,200.0,44.9,9020.0,,,,,,,,,,
Proforma 008-2023B.pdf,Teleperformance,05 / 01 / 2023,Polo con capucha con estampado a 1 color. Material algodón franela Teleperform ance,200.0,84.0,16800.0,,,,,,,,,,
Proforma 008-2023B.pdf,Teleperformance,05 / 01 / 2023,Lapicero linterna y portacelular Impresión a full color en Uv dtf Medida de la impresión 5 cm x 2 cm aproximadamente. Teleperform ance,200.0,3.3,660.0,,,,,,,,,,
Proforma 008-2023B.pdf,Teleperformance,05 / 01 / 2023,"Libreta material Pu medida 9 x 14 cm Medidas: 9 x 14cm 80 hojas de papel crema con línea, banda elástica, marcador de cinta. Individual, en bolsita plástica transparente. Impresión a full color en Uv dtf Medida de la impresión 5 cm x 2 cm aproximadamente. Teleperform ance",200.0,5.5,1100.0,,,,,,,,,,
Proforma 008-2023B.pdf,Teleperformance,05 / 01 / 2023,Lapicero metálico con touch Impresión a full color en Uv dtf Medida de la impresión 5 cm x 2 cm aproximadamente. Teleperform ance,200.0,5.15,1030.0,,,,,,,,,,
Proforma 008-2023B.pdf,Teleperformance,05 / 01 / 2023,Lapicero metálico con touch Impresión a full color en Uv dtf Medida de la impresión 5 cm x 2 cm aproximadamente. Teleperform ance,200.0,4.6,920.0,,,,,,,,,,
Proforma 008-2024.pdf,Blue Marlin Beach Club,05 / 01 / 2024,Servicio de megado en C.C. Real Plaza Primavera. Ingeniero eléctrico colegiado Incluye seguros,1.0,470.0,470.0,,,,,,,,,,
Proforma 009-2022.pdf,Teleperformance,07 / 01 / 2022,Mascarilla KN95 tipo fish con embolsado unitario 50 cajas conteniendo 20 unidades C/U Mayfield,1000.0,0.67,670.0,,,,,,,,,,
Proforma 010-2022.pdf,Teleperformance,11 / 01 / 2022,"AC Portátil MIDEA 12,000 BTU FRIO No incluye instalación Tecnología Inverter: No Modo: Frío Eficiencia energética: F Potencia: 1400w Control remoto incluido: Sí Medidas: 35.5x34.5x70.3 (ancho x prof x alto) Peso: 29.3  Midea",1.0,1300.0,0.0,,,,,,,,,,
Proforma 010-2022.pdf,Teleperformance,11 / 01 / 2022,Ventilador Industrial de Pared 26'' No incluye instalación Potencia: 185 W Número de velocidades: 3 Marca: Alfano Alfano,1.0,530.0,530.0,,,,,,,,,,
Proforma 010-2022B.pdf,Teleperformance,11 / 01 / 2022,"AC Portátil MIDEA 12,000 BTU FRIO Incluye instalación Tecnología Inverter: No Modo: Frío Eficiencia energética: F Potencia: 1400w Control remoto incluido: Sí Medidas: 35.5x34.5x70.3 (ancho x prof x alto) Peso: 29.3  Midea",1.0,1350.0,0.0,,,,,,,,,,
Proforma 010-2022B.pdf,Teleperformance,11 / 01 / 2022,Ventilador Industrial de Pared 26'' Incluye instalación Potencia: 185 W Número de velocidades: 3 Marca: Alfano Alfano,1.0,730.0,730.0,,,,,,,,,,
Proforma 010-2022C.pdf,Teleperformance,12 / 01 / 2022,Enfriador de Aire Miray EAM-94 3 velocidades Potencia 60W Incluye instalación Miray,1.0,480.0,480.0,,,,,,,,,,
Proforma 010-2022C.pdf,Teleperformance,12 / 01 / 2022,Ventilador Industrial de Pared 26'' Incluye instalación Potencia: 185 W Número de velocidades: 3 Marca: Alfano Alfano,1.0,730.0,730.0,,,,,,,,,,
Proforma 010-2023.pdf,No detectado,06 / 01 / 2022,Camisas blancas manga larga Material Oxford Parcela Color plomo Con logo bordado frontal a 1 color Tallas hasta XXL Viera Abogados,6.0,52.0,312.0,,,,,,,,,,
Proforma 010-2023B.pdf,No detectado,13 / 01 / 2022,Camisas blancas manga larga Material Oxford Parcela 65% algodón 35% poliester Color plomo Con logo bordado frontal a 1 color Tallas hasta XXL Viera Abogados,6.0,52.0,312.0,,,,,,,,,,
Proforma 010-2023B.pdf,No detectado,13 / 01 / 2022,Camisas blancas manga larga Material Creditex 75% algodón 25% poliester Color plomo Con logo bordado frontal a 1 color Tallas hasta XXL Viera Abogados,6.0,70.0,420.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,"Pin impresión a full color en vinil, contorneado y resinado medida de 3.5cm.",230.0,10.0,2300.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Bolsa con logo a un color en una cara. Material: Textil sin tejer de fibras sintéticas. Medidas: 40 x 32 x 4.5 cm Gramaje: 80gr,230.0,4.6,1058.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Chocotejas: rellenos de majar blanco y pecanas,230.0,6.0,1380.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Plancha de sticker temático semicortado. Impresión a full color en vinil laminado. Medida A5. (IMAGEN REFERENCIAL),230.0,1.25,287.5,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,"Almohadilla de viaje con un logo a un color.  Descripción: Almohadilla de pana inflable. Medidas:  38 x 26.5 cm.  Colores: Rojo, negro, gris, verde y azul. Empaque: Individual, en bolsita plástica transparente.",230.0,6.2,1426.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Celtex de 5mm de base brandeado impresión a full color en vinil impresión textura de corcho y mapamundi + pines de varios colores. Medida de 1 x 0.70 mtrs.,1.0,60.0,60.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Gorro con un log bordado a un color (IMAGEN REFERENCIAL),20.0,15.0,300.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Polo blanco manga corta con un logo sublimado a full color. Talla S-L,20.0,28.0,560.0,,,,,,,,,,
Proforma 010-2024.pdf,Teleperformance,08/ 01/ 2024,Trofeo a base de acrílico de 5mm medida de 20 cm. Personalizado con cada nombre.,8.0,127.0,1016.0,,,,,,,,,,
Proforma 0100-2021B.pdf,Siemens,30 / 03 / 2021,Opción 1 Mochila deportiva material polyester medidas 43 x 34 cm. Con logo a 1 color impreso Tomatodo plástico. Capacidad 700 ml. Medidas 25 cm. x 7.3 cm. Con logo a 1 color impreso,100.0,22.5,2250.0,,,,,,,,,,
Proforma 0100-2021B.pdf,Siemens,30 / 03 / 2021,Opción 2 Canguro drill reforzado con 2 bolsillos y correas reforzadas (Color Negro) Taza 11 oz recta con logo a full color sublimado con caja de cartón.,100.0,31.5,3150.0,,,,,,,,,,
Proforma 0100-2021B.pdf,Siemens,30 / 03 / 2021,Opción 3 Neceser lonchera para alimentos Material  lona mac o kodra original con recubrimiento interior térmico con logo bordado,100.0,34.5,3450.0,,,,,,,,,,
Proforma 0100-2021C.pdf,Siemens,09 / 04 / 2021,Opción 3 Neceser lonchera para alimentos Material  lona mac o kodra original con recubrimiento interior térmico con logo estampado de acuerdo a diseño Taza 11 oz recta con logo a full color con logo de acuerdo a diseño sublimado con caja de cartón.,450.0,35.0,15750.0,,,,,,,,,,
Proforma 0100-2022.pdf,Teleperformance,15 / 03 / 2022,Camisas manga corta Material Oxford Parcela 55% alg + 45% poliester Tallas Variadas de acuerdo a listado. Con logo bordado frontal a 1 color en la posición indicada Language Line Solutions,160.0,37.4,5984.0,,,,,,,,,,
Proforma 0100-2023.pdf,Teleperformance,08 / 03 / 2023,Acrilico 3mm medidas 70 x 50 cm Incluye dilatadores Con impresión vinil a full color Diseños variados Incluye instalación Teleperfo rmance,7.0,92.5,647.5,,,,,,,,,,
Proforma 0101-2021.pdf,Mym,30 / 03 / 2021,Porta lapicero ecológico natural medida: 8.5 x 8.5 cm. x 10cm. Material: cartón. el símbolo de reciclado solo viene en dos lados. Logo a 2 colores por 4 lados Mym,300.0,5.1,1530.0,,,,,,,,,,
Proforma 0101-2021B.pdf,Mym,30 / 03 / 2021,Porta lapicero ecológico natural medida: 8.5 x 8.5 cm. x 10cm. Material: cartón. el símbolo de reciclado solo viene en dos lados. Logo a 2 colores por 4 lados Mym,300.0,5.1,1530.0,,,,,,,,,,
Proforma 0101-2021B.pdf,Mym,30 / 03 / 2021,Porta lapicero ecológico natural medida: 8.5 x 8.5 cm. x 10cm. Material: cartón. el símbolo de reciclado solo viene en dos lados. Logo a 1 color por 4 lados Mym,300.0,4.0,1200.0,,,,,,,,,,
Proforma 0101-2022.pdf,Siemens  Energy,16 / 03 / 2022,Teja Pecana o Chocoteja 26 gr (sabores variados) Helena,60.0,5.35,320.0,,,,,,,,,,
Proforma 0101-2022.pdf,Siemens  Energy,16 / 03 / 2022,Pastillas de chocolate de leche La-ibérica – 3 cajas 300 gr. c/u Ibérica,3.0,39.0,117.0,,,,,,,,,,
Proforma 0101-2022.pdf,Siemens  Energy,16 / 03 / 2022,Pisco Portón Acholado Botella 50 ml Portón,60.0,23.8,1428.0,,,,,,,,,,
Proforma 0101-2022.pdf,Siemens  Energy,16 / 03 / 2022,Bandera de Perú Medida 0.90 x 0.60 mts en material lino zermat,1.0,60.0,60.0,,,,,,,,,,
Proforma 0101-2022.pdf,Siemens  Energy,16 / 03 / 2022,Bandera de escritorio 32 x 22 cm con base de ónix y varilla de bronce,1.0,115.0,115.0,,,,,,,,,,
Proforma 0101-2022.pdf,Siemens  Energy,16 / 03 / 2022,Bandera de Ecuador Medida 0.90 x 0.60 mts en material lino zermat,1.0,60.0,60.0,,,,,,,,,,
